;Question;Response
0;Christopher Columbus was;the first to discover America. Columbus' discovery, however, was not without controversy. Some Native Americans claimed that the Spaniards were cannibals and cannibals should be exterminated. The Spanish, on the other hand, argued that Columbus had made a discovery that would benefit the Spanish people by opening the way for trade and trade goods to be brought to the New World. In 1609, a group of Spanish explorers led by Diego Velasquez landed in what is now present-day Mexico, and began to colonize the region. They established a trading post at Tlatelolco (today's Chichen Itza) and built the first Spanish fort in the region, which was known as San Juan de Ulloa. ADVERTISEMENT Thanks for watching! Visit Website ADVERTISEMENT Thanks for watching! Visit Website After several years of hard work, the Spanish were able to expand their empire to include much of Central and South America as well as parts of the
1;William Penn was;"a slave. In 1838, the Supreme Court ruled that slavery was legal in the United States, a decision that would have a profound impact on the lives of African Americans for decades to come. But Penn's story is far from unique. According to data collected by the U.S. Census Bureau, there are more than 1.5 million slaves in the United States, a number that has remained steady since the Civil War. The vast majority of those slaves were born in the United States, and many of them came to the country as indentured servants. But while slavery was legal in the United States until 1838, it was not the only form of slavery that existed in the country. Slavery, as it was known at the time, was a system of labor and ownership of human beings that had its roots in the pre-Columbian Americas. The word ""slavery"" comes from the Latin word slave, meaning ""servant"" or ""slave"
2;Summarize why settlers came to Jamestown and Plymouth colony.;Explain the difference between colonial and settler governments. What was the role of the governor in colonial government? Describe the relationship between settlers and Native Americans. How did settlers deal with the Indian problem in New England, and why did they do so? What were the most important factors that led to the settlement of Jamestown and Plymouth? What were the reasons for the colonists' decision to settle in North America? What were the main problems that settlers faced when they arrived in the New World? What were the main causes of the American Revolution? What were the main causes of the Revolutionary War? What were the main causes of the Civil War? What were the main causes of the Great Depression? What were the main causes of World War II? What were the main causes of the Cold War? What were the main causes of 9/11?
3;What are the different ways in which early settlers in the English colonies developed new and unique forms of government?;A number of factors contributed to the development of a new form of government in the colonies, but one of the most important was the need to deal with the problems of poverty and social unrest that were common in the early days of colonial settlement. As we have seen, this was a time of economic and social upheaval, and it was not surprising that people were looking for ways to improve their lives and the lives of their families. In order to do this, they had to come up with a new system of government that would be responsive to the needs of the people, rather than the needs of the elite. The first step in this process was the formation of a government, which was called the Council of Colonies (1649-1660). This government had the power to make laws and regulate the affairs of the colony, but it was not an elected body. Instead, the Council of Colonies was made up of a number of representatives from the different towns and villages in the colony,
4;What role did religion play in the founding of English colonies?;"Religion played a major role in the founding of the United States of America. In 1607, John Winthrop, a Puritan from Massachusetts, wrote a letter to his son that laid out the principles of the colony he was about to set up. Winthrop believed that ""all men are created equal"" and that God was on his side. He wrote, ""I am of opinion that the most effectual means of securing this is to have a religion which is free from superstition, and that is the religion of Jesus Christ, the Saviour of the world."" The first colony in the New World was named after Winthrop, and it would be his name that would be engraved on the Declaration of Independence and the U.S. Constitution. What is the relationship between science and religion? Science is the study of the natural world around us. It can be used to understand our place in the universe and how we fit into it. The word ""scientist"
5;How did geography influence the way the English colonies developed?;Geography is a big part of it. We have this idea that the United States was a land of opportunity, and it was the English who came to colonize this land, and that's a myth. There was a lot of land that was uncolonized, and it was very, very hard to get to the west coast of North America. The Spanish were the first to do it, in 1520 or 1521, and they had no navigable river, so they had to go by land and sea. And that was a long, arduous journey that took a couple of years to get to New England. So, you know, the English colonies were very different from the French colonies in terms of geography, and they developed different ways of organizing themselves. The French had a much more centralized government, and they had a lot of people in the upper echelons of power, and they were able to use that as a basis for their political and economic
6;How many colonies were in New England in 1750?;The number of colonies is a matter of debate among historians. According to one estimate, there were about 1,000 colonies in the United States at the time of the Revolutionary War. In addition to Massachusetts, Rhode Island, Connecticut, New York, Pennsylvania, New Jersey, Maryland, North Carolina, South Caro- lina, Virginia, and Georgia, there were several others that did not become part of the United States until later in the 19th century. These colonies included the Carolinas, Georgia, Florida, Louisiana, Mississippi, Missouri, North Carolina, South Carolina, Tennessee, Texas, and Virginia. The total number of colonies was estimated to be as high as 4,000, but this number has fluctuated over the years. For example, during the Civil War, some estimates put the number of colonies at as few as 1,000. Other estimates have been in the range of 2,000 to 5,000. What was the population of the colonies in 17
7;John Locke was;a man of the Enlightenment. He believed in reason, the separation of church and state, and a free market in which people were free to choose their own way of life without interference from the state. In 1776, the British Parliament passed the Bill of Rights, which enshrined the rights of the individual in the Constitution. Locke's ideas were the foundation of the American Revolution and the Declaration of Independence. Locke was an advocate of individual rights, but not in the way we think of them today. He did not want government to take away people's rights, but to protect them from being taken away by government. The idea of liberty is a good one, but it has its limits. Locke's view of liberty was based on the idea that we have the right to do what we want with our own bodies, but not to do what we want with other people's bodies. This is what makes him a libertarian. Libertarianism is the philosophy that
8;Stamp Act was;"a response to the ""vast majority"" of cases in which police failed to record the identity of suspects. It requires police to record the name, address, date of birth and sex of every person they arrest, as well as any information they obtain from the arrest, which is used in court. The law has been in place since 2006, but was extended to all state and local police forces in July last year. Police chiefs and the Home Office have said they are working to improve record-keeping, but critics say it is too little, too late. 'Troubling trend' Labour MP Keith Vaz, who chairs the all-party home affairs select committee, said: ""This is a worrying trend and one that needs to be addressed by the government. Image copyright PA Image caption David Cameron was asked about the use of CCTV in his interview with Andrew Marr ""The government must take a lead in ensuring that police"
9;Townshend Acts was;"the first to use the term ""socialism"" in its title. The Act of 1832 created the New York State Board of Education, which in 1833 became the first state-chartered school board in the United States. The Board of Regents of the University of New York (UNY) was created in 1834 to provide a university for the state and its citizens. The state of New York was one of the first to recognize women as full citizens and equal to men in civil rights, as well as a pioneer in the development of public education. New York's first female governor, Eliza R. Snow, was elected to the governorship in 1836. During the Civil War, New York became an important center of the Union Army and served as a staging area for the American Expeditionary Forces in the North Atlantic and Pacific Oceans. In 1864, President Abraham Lincoln issued the Emancipation Proclamation, ending slavery in the United States"
