;Question;Response
0;"How did physical geography impact industrial growth?
";"How did physical geography impact industrial growth?

We found that the most important determinant of industrial growth was geography, which is a good place to start when looking at this question. In the United States, for example, a country's location in the world has a strong impact on its ability to grow and create jobs. The U.S. is one of the world's most industrialized countries, and it has been for a long time. But as the world becomes more urbanized, it is no longer the case that manufacturing centers are located in the heart of the country. Instead, they are spread across the country, from coast to coast and from state to state. This geographic spread of manufacturing is the result of two factors: (1) the growth of the manufacturing sector and (2) the fact that the United States, unlike most other countries, does not subsidize manufacturing by providing tax breaks or other forms of government support that are available to other countries.

What is the relationship between manufacturing and GDP per capita?
"
1;"How did tycoons inﬂuence the growth of corporations?
";"How did tycoons inﬂuence the growth of corporations?

In this episode we talk about the power of money to shape the world around us. How it is possible that a handful of people have the power to make billions of dollars in a matter of years and the rest of us have no say in the matter at all. And what we can do about it. Free View in iTunes

5 Clean The Future of Work: A New Paradigm for the 21st Century The future of work is a new paradigm that has been in the works for a long time. And this episode is about how we got here, and what it means for our future. Free View in iTunes and check out our Patreon page for more episodes like this. Become a patron of Out of the Blue and get access to bonus content and other great benefits by becoming a $1/month patron at patreon.com/outoftheblue. Free View in iTunes

6 Clean What's the Deal with Trump? The election of Donald Trump has many people scratching their heads"
2;"How did inventions impact demands for labor?
";"How did inventions impact demands for labor?

The Industrial Revolution brought with it a new set of demands for labor, as well as an increase in the number of workers in the United States. In 1820, there were about 1.5 million people working in the textile industry, compared to more than 10 million in 1900. By the end of the 19th century, this number had grown to more than 20 million. This was due in part to the introduction of mechanization, but also to changes in the labor market that led to more women entering the workforce and to the rise of industrial unionism.

What was the impact of technological innovation on wages?

Technological innovation can have a positive or negative impact on wages. On the one hand, it can make it easier to produce goods and services, which in turn increases demand for labor. On the other hand, it can lead to the substitution of labor-intensive activities for capital-intensive activities, which in turn leads to lower wages. This is a trade-off"
3;"How did the government interact with big business?
";"How did the government interact with big business?

It was a government of the people, by the people and for the people. The people had a right to know what was going on in their government, and that's what we were trying to do.

How did that change over time?

I think it's important to look at the period from 1980 to the mid-1990s, when there was a lot of talk about privatizing the postal service, which was one of the most important services for the people of New York and New Jersey. That led to the privatization of the post office in the early 1990s, and it was an enormous step in the right direction. The government was taking a lot of the burden off the backs of the people who were sending and receiving mail, and that was a good thing.

What was the government's relationship with Wall Street?

The relationship was very, very good. We had a very good relationship with the financial industry, and that helped us get through the Great"
4;"How did urban development change the landscape of America?
";"How did urban development change the landscape of America?

It's hard to say, but I think the most important thing that happened in the 20th century was the growth of the automobile. In a lot of ways, this was a revolution in transportation, and it changed the way we live, work, and play. We're not going to have a transportation revolution in the next 100 years, but we're going to have a lot of changes in the transportation system over the next few decades.

How do you think that's going to play out?

It's going to be interesting to see what happens with the electric car, which is the future of transportation. The question is, will it be a mass-market product or a niche product? I think it's going to be a niche product for the time being—but that's not to say it won't become a mass-market product in the not-too-distant future.

What's your take on the state of the auto industry right now?
"
5;"How did race, gender and social status aﬀect American politics?
";"How did race, gender and social status aﬀect American politics?

The answer is that they did not. In a nation of 320 million people, there are a few hundred thousand people who have the power to shape the country's political and social landscape. The vast majority of Americans are not in that position, and their influence is limited to voting, donating to candidates and making phone calls to elected officials.

   JUST WATCHED Trump's 'rigged' election comments Replay More Videos... MUST WATCH Related Video: Trump's 'rigged' election comments 01:37 autoplay  autoplay  Copy this code to your website or blog <iframe src=""http://www.nbcnews.com/widget/video-embed/90762405638"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen></iframe>

That's why it's no surprise that Donald Trump, the Republican nominee for president, has made a habit of calling into"
6;"How do the maps above demonstrate that the United States was geographically ready for the Industrial Revolution?
";"How do the maps above demonstrate that the United States was geographically ready for the Industrial Revolution?

First, let's look at the map that is the most familiar to Americans: the U.S. Geological Survey (USGS) topographic map of the United States. The map shows the country as a rectangle, with North and South at the top and bottom, and the Atlantic Ocean in the middle. In fact, there is no land on the map other than the Atlantic Ocean, which is about 1,000 miles long and 200 miles wide. This is an accurate representation of the land area of the United States at the time of the Civil War (1861-1865), when the nation was in the throes of a civil war over slavery.

Now, let's take a look at the map that is less familiar to Americans: the World Geographical Data System (WGS84), a database of more than 4,000,000 points of geodetic data that was created by the National Oceanic and Atmospheric Administration (NOAA) in the 1970s."
7;"How does Andrew Carnegie view the role of the wealthy?
";"How does Andrew Carnegie view the role of the wealthy?

He was a philanthropist and an industrialist. His wealth was derived from his ability to create wealth for others and the fact that he had no interest in making himself rich. Carnegie believed that people should be free to do what they wanted to do, as long as they did not take advantage of others. This is the basis of the Carnegie Foundation, which provides grants to the world's most innovative scientists and entrepreneurs.

What is the difference between Carnegie and other billionaires?

Carnegie was the first billionaire in the United States, and he did not start out as a billionaire. In 1877, he founded the Standard Oil Company of New Jersey (STI, now ExxonMobil), which became the largest publicly traded company in the world. The first oil well was drilled in his hometown of Wheeling, West Virginia, in 1879. Carnegie became a wealthy man by the time he was in his 40s, and he died penniless in a nursing home in New York City in"
8;"How does Andrew Carnegie view charity?
";"How does Andrew Carnegie view charity?

He was a philanthropist and an early proponent of public works, which are the building of roads, canals, and railroads to connect people to each other, as well as the provision of water and electricity. In the 19th century, he founded the Carnegie Institution for Science and Technology, which is a research and education center in New York City. Carnegie's most famous contribution to the world was the creation of the Standard Oil Company of New Jersey (STP, now ExxonMobil). The Standard Oil Company was one of the first companies to invest in the United States, and it has been a major force in the development of the U.S. economy and the world's energy supply.

What is Carnegie's legacy?

Carnegie is remembered for his philanthropy, but also for his role in the American Civil War and the founding of the University of Pennsylvania. He was the first president of the Carnegie Endowment for International Peace (CEIP), the world's largest end"
9;"What part of the American identity does Carnegie emphasize in this document?
";"What part of the American identity does Carnegie emphasize in this document?

I think it's the American identity as a free and independent nation that is at the heart of the United States, not the European identity. The Europeans have a different idea of what it means to be an American than we do. We're more like the British than the French, and that's what makes us different from them.

How do you see America's relationship with Europe in the 21st century?

It's going to be a long time before we get to that point. But I think we're on the cusp of something that's going to change the world for the better. The world is changing, and it's going to take a lot of people to do the work that needs to be done in order to make that change come to fruition."
