;Question;Response
0;"How did physical geography impact industrial growth?
";"How did physical geography impact industrial growth?

Physical geography was a key determinant of productivity and business expansion, making it hard for countries to export their industrial activity (which will likely be reduced for the next few years)

Physical geography has also hindered growth of technology and technology products

According to David Shiner at the University of Reading. They argue that ""the physical geography of the world … increases the competition for capital in many key sectors, including banking and insurance — both of which are increasingly linked with the economic health of a country and its surroundings, which further contribute to economic growth."" One way to understand the impact of geography is that it affects the market. Governments, corporations, businesses and other private sector actors all work on different physical maps, which means that they rely more on one geographic area than they can on other geographic areas. Thus geography affects innovation, which is critical in many important sectors such as medical care, government and the manufacturing industry

Research and development for industrial health projects has focused on geography, especially within emerging and emerging economies (such as China), but with its impact also limited (as it will be with all the large-scale technology development and infrastructure projects in the industrial world, this should only be the beginning).

But why is geography so important?

The question comes as a shock to most people; that, let me tell you, geography doesn't matter if you are not a geologist or know a lot about physics. As an exercise, the answer may lie in geography's"
1;"How did tycoons inﬂuence the growth of corporations?
";"How did tycoons inﬂuence the growth of corporations?

Some might make it very clear that tycoons and business titans have come together to support one country more than their former boss. Some might argue that tycoons with such financial incentives, from investments to the capital capital flows of business moguls, will go back to China to fund their own companies while others may be caught in a cycle of mismanaged investment.

The general conclusion drawn by that is that business tycoons and business titans do not want to come to the conclusion that they will ever return to their former boss. The basic premise of capitalism is that if capitalists have a competitive advantage over their former boss, as in many of its core features, then they should create a large enough share of companies to attract capital in capital markets.

This means that if corporations and CEOs and shareholders are the main focus, why should they ignore their current rival or their past rivals? Moreover, the current level of competition in the Chinese economy has led to a drop in the profitability of their existing companies, as well as a higher rate of failure to increase capital, especially in investment banking. This leads businesses to invest more in new capital and they tend to seek to grow (by spending more money on their initial investments) as an incentive to reduce the cost of capital. Thus, if they invest more money, while they invest under pressure, their profitability falls because they are forced to take a hit to keep up.

The second problem with capitalism is the tendency to believe"
2;"How did inventions impact demands for labor?
";"How did inventions impact demands for labor?

Most notably, the use of human labor decreased by 30 percent as a result of advances in manufacturing techniques. This was the most significant increase in the number of new inventions since the Industrial Revolution, which began in the 1970s (see also pp. 9-20 in his 1999 book, ""Skeptical Industrial Policy"", available on the Web). According to one study, the number of innovations in machinery, plastics, plastic liners, and other metals by this time had risen from 2.2 billion to 11.4 billion, while the number of innovations in agricultural products increased by 13 percent during this period. However, the manufacturing industry still produced far more products than that number has grown, accounting for one third of the total (6,039).

How have changes to food and other staples impacted demand for this item?

Increasing demand for foods, such as fruits, nuts, seeds, and spices, was driven primarily by market demand. In 1980 (at the beginning of the 1980s), the average price that one person received for his/her groceries rose in a country including the United States (13.2%), which brought annual costs for other purchasing types (19.3%), and for other goods and services (13.0%). During this period, the use of ""waste"" in goods, such as flour (and other products used to build factories), resulted in higher returns for producers. As a result, the share of the price increase during this period"
3;"How did the government interact with big business?
";"How did the government interact with big business?

At the end of the day things went like this. A lot of stuff, like this article, is actually published in newsgroups. Sometimes it's made on big news websites. They were getting these huge media coverage and, frankly, there was really one article that got in the way of big news. But they all ran with this idea that it was all business. They don't even bother to show us what their business is. They just come up with these really great stories and say: You know what, no one will take my article seriously. I think that's kind of what happened. Because if they're not doing news articles, our government just doesn't have the energy and imagination to do really well. You know, that's kind of sad.

What did you learn about the way the mainstream media and the American public responded to the Ferguson riots?

It is really, really confusing this summer. It's always been kind of strange — even from the beginning when things started to be done this way, especially because it's such a major political issue there. And it's pretty interesting to watch the situation on the left in this country. You know, there used to be a time when we used to know that the liberals hated everything. But here, it's just something completely different. There's something very true about how public life works and what's really at stake in Ferguson. So it's not exactly the way you would expect to see it in this country"
4;"How did urban development change the landscape of America?
";"How did urban development change the landscape of America?

R.I.P., when he took over the National Park Service, had a very clear sense of the role urban people played in our history. The parks he made were like a sort of parallel to national parks – they allowed people of all backgrounds and interests, along with native-born scientists, to visit and observe the American history.

R.I.P. describes the national parks with a couple of things in this book. The first was that of the ""Tiger Valley,"" a desert of deserts and fountains in South Dakota. The park was a place to study nature for generations. The second part was that of the nation's National Park Service, whose chief, John M. B. DeYoung, was an urban planner. The big difference between Urban Design and Park Preservation was that DeYoung was more concerned with creating the parks than taking the land and putting them on the market.

He said that if the park was developed into more of a park than it actually was, it would lose its place as a national park.

And so he was happy to have local people on board, even a few hundred people from the public, as representatives of the government.

This was at the center of the park's vision, which was to attract tourists to a place where ""the people can really play and look around or spend time watching in their natural habitat,"" said DeYoung, who was also the governor's architect.

I was one"
5;"How did race, gender and social status aﬀect American politics?
";"How did race, gender and social status aﬀect American politics?

My political future has always been in doubt, of course, but I do believe politics is the most important form of learning in the modern world. The American political tradition has always been centered on political leadership: leadership of the people, leadership of the class, leadership of the community. But even if these leadership processes are very complicated to understand, it's worth looking at how individuals choose to participate in such an environment. These experiences, both moral and political, have a profound influence on our political culture and how politicians act based on their experiences (and, perhaps most importantly, what people do about American politics). In fact, political events that serve a wide variety of social and cultural goals are often much more important than the actions and decisions and decisions of a particular elite. Because these elite interests are often the one underlying the political system that shaped our political system, they create an atmosphere of political uncertainty that can drive politics to an impasse. The political situation changes, the economic situation changes, the class situation changes, and so forth.

But it doesn't always look like this. In fact, politics and class are relatively stable, but so too are human relationships. When a person is in the wrong, many of us have different, but distinct, biases or identities. This gives rise to a range of political dynamics and conflicts. As the age of political information overload approaches the election cycle, we are likely to encounter politics with greater importance since it is a critical element in the way we understand"
6;"How do the maps above demonstrate that the United States was geographically ready for the Industrial Revolution?
";"How do the maps above demonstrate that the United States was geographically ready for the Industrial Revolution?

First, consider that the United States had far more space to develop its technology than even the Great Gatsby did for the Spanish Armada. It also had much lower concentrations of technology than the British have today in other areas of the world. The first industrial revolution came in the United States in the nineteenth century on the order of the United Kingdom and Germany. As I mentioned in my previous essay on the Industrial Revolution we had a long gap between China and Germany. The United States was not as fortunate as the British, and as the Great Gatsby, its military equipment was less advanced even then.

Secondly, consider that the United States, in spite of its poor military capabilities, could very well have developed its technological capabilities even if it was still in the early stages of industrial development. On August 21, 1777, the British launched a bombing attack on the United States and the United States Naval District in Louisiana. According to legend, on August 21st, 1817 the United States Army sent a battalion under General H. G. Butler of the British Admiralty, led by General C. H. McCollum, with the command of the U.S. Naval District. In a similar manner, the American fleet made the raid on the British fleet on August 27, 1777. In spite of its superior naval capabilities, it was still too late to stop the bombing as it was too early to see the damage to the British fleet.

Finally, consider the"
7;"How does Andrew Carnegie view the role of the wealthy?
";"How does Andrew Carnegie view the role of the wealthy?

What causes those who are averse to a charitable work to become uninspired by it?

How does Carnegie view charity as a medium of support for the poor?

What is the difference between wealthy and impoverished?

When did Andrew Carnegie and the rest of the world start thinking about what charity means, and who owns it?

How does Carnegie view the role of the wealthy?

Why does Carnegie view charity as a medium of support for the poor?

How does Carnegie view charity as a medium of support for the poor?

How does Carnegie view charity as a medium of support for the poor?

Can charities, too, help with care? Is philanthropism an ideal medium and one where everyone should be giving to raise their own cash base?

A more modern approach suggests the need for charity, but these are not the only problems with Carnegie's vision. These ideas are all connected to the other problems, especially with the nature of philanthropy within capitalism.

A more modern perspective makes clear why such issues can sometimes seem so abstract and abstract.

An important part of this is that such questions are being asked about how our business and society has developed through the centuries. It's not an accurate depiction of how business and society have been over the centuries, but there are still unanswered questions that need answering.

Part 2: How have corporate politics and philanthropy changed in the 20th century?

This essay"
8;"How does Andrew Carnegie view charity?
";"How does Andrew Carnegie view charity?

""I didn't even go back to college. There's a great story in New York and I did, but it's a kind of a different kind of story as an institution here, the way other organizations do it,"" he said. ""And when I went to work there, it did have a huge effect on the local economy.""

In my research at the Bloomberg School of Business, I've noticed the same sort of shift.

Some cities have begun to grow their own charitable giving, like Minneapolis, and others struggle with declining returns. This trend will come to a head on the middle of the decade, and many of the city-fuelled philanthropy will be on the cusp of a renaissance.

One example is Minneapolis, which has become the first city to become a U.S. leader in the development of local private and nonprofit financial support, but what kind of impact does fundraising have on cities?

""That's a pretty strong predictor,"" said Thomas L. Noyes, a professor of law, advocacy and public policy at the University of Minnesota and the director of Center for Public Policy Studies at the National Center for Policy Research. ""It was really important for us in the 90s and 2000s as a country. We don't yet have public investment that is going to allow us to get anywhere close to where we want to go. And we're hoping that by continuing to grow the size of our community, we can move"
9;"What part of the American identity does Carnegie emphasize in this document?
";"What part of the American identity does Carnegie emphasize in this document?

To the extent the 'American Identity' is to be understood as being a non-essential part of American life, it is not sufficient to assume that any of the parts of American identity which might otherwise be of a metaphysical character are merely 'essential parts' of the American identity or that, therefore, certain parts of American identity can be achieved: these include one or more essential parts which are only possible through means of direct contact through 'an alternative, non-specialist' form of contact, such as an individual or a group, or through certain forms of contact between certain people. In the latter cases they can be achieved by means of specific contact: from a certain distance away from one's home, one may be influenced by some individual or through certain influences on a collective. (…) It is quite possible to combine the various elements which constitute the American identity with the 'essentialist' elements which are necessary to the American identity, even in the case of a'self-conscious' American person, in order to get a single identity (I have just described a set of possible elements; my description will be expanded later.) Such an understanding of the American identity will thus remain somewhat vague because it is not clear how it can be understood as a separate, distinct identity. What is already known in this book, however, appears to be that there is an important question: is the American identity actually a dualism: as a different individual, with a distinct personality, in contrast to the '"
