;Question;Response
0;"How did physical geography impact industrial growth?
";"How did physical geography impact industrial growth?

Physical geography is a key determinant of productivity and business expansion, making it hard to predict where things will end up (and how quickly). As for productivity, the most important question is how much work will be done on an hour to a day basis and how much will be done on a week to a day basis. It's a question that has been at the heart of our job in many fields for decades. I was fortunate enough to work at a company that actually knew many of the same things about its working people, as well as those of its staff. When there's a large number of people working on a daily basis, a large number of people have the time to get their hands dirty. What about how much work will be done on an hour to a day basis to get a good starting point and how much work will be done on a week to a day basis? We've all heard of the ""free lunch"" concept for productivity, but the question is, do you find it effective to do it in the right period of time? So, more fundamentally, I think physical geography is a key determinant of productivity and business expansion.

On why this should matter in the long-run

At the same time, as the world economy evolves, a lot of the factors that we consider important to the future are changing. There's going to be a lot more people who want to be people, and we need more people with the skills and knowledge to make that"
1;"How did tycoons inﬂuence the growth of corporations?
";"How did tycoons inﬂuence the growth of corporations?

Some might make a mistake. This column has been edited to include the original and clarifying remarks.

• Read the entire article at the Washington Post (Feb. 15).

If you would like to receive the full letter, it will become available once again at https://www.washingtonpost.com/news/the-fix/wp/2016/02/18/donald-trump-to-put-trump-in-front-by-talking-trump-toy-story.html"
2;"How did inventions impact demands for labor?
";"How did inventions impact demands for labor?

There are a lot of new ideas.

We have a lot of new inventions. In the late 70s and early 80s, what was the basic premise of inventing? [and] the idea of doing something we could do today?

That's what I wanted to be a part of. I wanted to do something that we could do, and do things that were not possible before.

So I worked on a company called Cabbage. He was the first person to really think of it as something that could be done.

And how did the invention of the transistor come about?

It's very difficult to pin down the exact sequence of events, but I think an early event is the transistor, with all its power.

When the word 'transistor' popped out of Webster's dictionary, it meant the electric motor that was powering that motor was connected to the transistor, so that the transistor was connected to the motor.

In 1950, a patent for a transistor started to appear on a patent for a ""wireless switch circuit"" [a device that takes power from the transistor]. The name was probably not the same, but he was making it up! It gave a lot of power to the transistor, and it then started to do the crazy kind of stuff.

But with every transistor, the transistor became a more advanced invention.

The transistor got more efficient. It went from being able to operate at about"
3;"How did the government interact with big business?
";"How did the government interact with big business?

The government used the information it got from the public to put restrictions on the activities of big businesses. It allowed the government to block businesses, the government tried to regulate them and impose sanctions that were only applied to businesses.

How have your ideas and recommendations influenced business in India today?

The government believes in creating greater prosperity for all the citizens by not restricting themselves to being a part of a particular religion or tradition. We think businesses will make better use of the information they get from the government so that they can make their own decisions.

Why did you decide to move this project out of the office of the Minister of Education to a new government?

We were inspired by the economic impact of the project. We know that the government was also motivated by the need to encourage entrepreneurship in the country. If it weren't for the strong job growth that is happening in manufacturing industries, for example, then we would have never been able to compete.

The government also felt that India could remain on the business-led agenda without the government. But there is a desire to move on from business and it is not a dream that can be put forward with the kind of support that we have been getting.

Would you like to think about how you'd respond to a potential government challenge?

I'd like to think what might happen could be very significant for India. I have always said that the government will have a responsibility to provide support for the economy and"
4;"How did urban development change the landscape of America?
";"How did urban development change the landscape of America?

Rajendra K. Bholakia

One of the most controversial issues of our time, this question has become increasingly the subject of debate. The idea that urban development had changed the landscape of America and other countries has long been viewed as a hoax that was fabricated by the mainstream media and the American public. This is based on a simple premise, the ""Gang of Eighties"". A group known colloquially as the Gang of Eighties who began in 1950, was comprised of three of the most influential people in American politics, and the three influential people who had the power to change the landscape of urban America were: Charles Manson of the Manson Family, James Earl Ray Ray, and Ronald Reagan.

If you look at the media coverage in 1950, the most prominent of these men was the media commentator Bill O'Reilly, who gave an interview with the Washington Post for about ten minutes saying that most of the US was ""over the top"" of the problem of crime.

I remember once a time, when, as a child I was about eight, I spent a week in a house on the streets looking at the TV screen and watching the TV programs on the black market to see if we could see what the black market had to do with crime. For the next day or so, I would go to the house and watch that show. I would watch this show all day long and watch like, ""Oh my God, we have to make a big"
5;"How did race, gender and social status aﬀect American politics?
";"How did race, gender and social status aﬀect American politics?

We've gotten our fair share of criticism online and across the Internet for being biased toward candidates not on their race. But there've also been the instances of race in politics that don't necessarily relate to their place in history. The story of Trayvon Martin shows that our race has something to do with this:

A video of George Zimmerman's confrontation with Eric Garner showed he struggled to get his hands on an assault weapon.

What does all race have to do with race?

We don't fully grasp the exact relationship between ethnicity and race until we talk about race. Race, like ethnicity, can have effects on how we see ourselves. In a recent paper, Andrew Y. Weil, PhD, and Erika J. Gautier, A.S., A.V., and B.J. Williams, MArch in Developmental Epidemiology, Social Issues, Vol. 12, No. 5, May 2007, published by the Journal of Clinical Epidemiology, found that racial minorities generally experienced increased exposure to ""external stimuli"" such as their peers in the first place. They also experienced lower rates of anxiety, depression, and the like in the presence of people who weren't from the same race. A 2007 study of black college students in the United States found that two-thirds had experienced racial discrimination during class in one of five academic disciplines: science, engineering, or mathematics. In 2011, a study in South Africa found that white students at public universities in"
6;"How do the maps above demonstrate that the United States was geographically ready for the Industrial Revolution?
";"How do the maps above demonstrate that the United States was geographically ready for the Industrial Revolution?

If that's so, the maps above should be useful, but we don't have any evidence that this was done. The maps are based on a lot of hard data. They're all fairly old. It's difficult to imagine how something like this could happen at such a small scale. Yet even if we could do a full-scale map, the models are still relatively small.

So, what's the likelihood that the United States was ready to develop, at least to some extent, an industrial revolution. Will it do so on the scale of the Industrial Revolution or just as a gradual transition of technological development?

This is an interesting question, because many people question why the United States was developing industrial products at such a young age – the question is whether the Industrial Revolution was gradual or, rather, rapid.

It's possible that we don't do what we need to but to have something as gradual as that. I have a very good feeling for that. In fact, it's worth comparing the two. The Industrial Revolution (imagine) was relatively early, but industrial products took a pretty long time to mature. If you had just done industrial manufacturing you probably wouldn't know the first 10 or 20 years.

A century of manufacturing growth took about a decade. So industrial products are evolving and they may do things that you haven't done before.

You have an industrial revolution? The Civil War was certainly a period long ago, but a war"
7;"How does Andrew Carnegie view the role of the wealthy?
";"How does Andrew Carnegie view the role of the wealthy?

A: I think he's a very smart man and I think he's a very lucky one. I've met him in London a few times and once asked Andrew why he thinks the rich and powerful keep spending so much money when he was a young, very powerful mayor of London and he didn't get much advice in return. People who were born and raised in the US, he said, they are very strong people and they are very strong. He really wasn't the first person to say that.

But I think Andrew has found some very good ideas for how we can deal with some of the issues facing us and also for how we can solve some of the problems facing us, about what we can do about inequality. And I think he has a very good point about how we can address the problem of the wealthiest 10 percent, and what that means for our country.

AMY GOODMAN: I want to thank you so much for being with us, and thank you to a few of our Twitter followers. I want to thank our guest, the New Jersey businessman and political strategist Peter Schweizer. Peter, thanks so much for talking with us.

PETER SCHEIZER: Thank you all very much.

ROSS GOLDENSTEIN: Peter, I want to ask you this – what do you think about Bernie Sanders talking about, what does he say about that? And, Peter, I think Bernie Sanders is the candidate that will win in November"
8;"How does Andrew Carnegie view charity?
";"How does Andrew Carnegie view charity?

""The truth is that there are only two ways to end poverty among poor people – give and receive and spend. The two biggest, and certainly, the most dangerous, are to get money first and help people who are in poverty to start new businesses and gain access to affordable housing."""
9;"What part of the American identity does Carnegie emphasize in this document?
";"What part of the American identity does Carnegie emphasize in this document?

I think the American identity, in essence, says that if you want to be something, you have to do something. I see the world in general as a very difficult work, a very high-stakes, very difficult work. But I don't think, as an economist, that a person has to do anything very hard. I don't think that that's a thing.

A lot of the things they do is hard to understand. What does that tell you about their methodology?

The other thing is that it tells us how to understand the world. I have heard from people who were doing economics who had just become economists and they had to put on a hat and do a hatchet job. There's a great story in New York City where it was about a man named George Monbiot. He actually got an order here, the Chicago Business Improvement Agency, that the Department of Justice was investigating.

And there's a new story, which is this whole notion that the whole kind of system was really broken because it doesn't work. Look, you are one of the lucky people that can do a hatchet job. You can see these people all over the country doing it. Now, when I was working for the Department of Justice, we had this new law. And it was, oh yeah, we had the system in place, but the fact that it was there for only two weeks didn't mean that the people who would do and say,"
